,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
1986-01-01,9.6412645532,18.1332851468,,17.5034774987,160.42,211.77999877929688
1986-02-01,9.6581196762,18.1035583623,,17.5034774987,175.91,226.9199981689453
1986-03-01,9.6244094302,18.0738315777,,17.471243011,199.76,238.89999389648438
1986-04-01,9.5569880435,17.9549244397,,17.374538448,202.91,235.52000427246094
1986-05-01,9.5064217799,17.7171111906,,17.2455993974,231.06,247.35000610351562
1986-06-01,9.3884341296,17.7171111906,,17.1488959345,243.36,250.83999633789062
1986-07-01,9.354722989,17.7171111906,,17.0521913715,273.75,236.1199951171875
1986-08-01,9.354722989,17.7171111906,,17.0199568839,264.64,252.92999267578125
1986-09-01,9.3715790066,17.7765647597,,17.0521913715,253.45,231.32000732421875
1986-10-01,9.321012743,17.7468379751,,17.0521913715,240.79,243.97999572753906
1986-11-01,9.2270974502,17.7765647597,,16.8910178333,268.98,249.22000122070312
1986-12-01,9.1090176612,17.7468379751,,16.7620787826,272.61,242.1699981689453
1987-01-01,9.0752805787,17.6873844061,,16.7298431949,310.22,274.0799865722656
1987-02-01,9.0415434961,17.5982040525,,16.6653742196,334.98,284.20001220703125
1987-03-01,9.0415434961,17.1225775545,,16.6653742196,405.13,291.70001220703125
1987-04-01,9.0078064135,16.8847643054,,16.6653742196,358.63,288.3599853515625
1987-05-01,9.0078064135,16.8847643054,,16.6976087072,387.99,290.1000061035156
1987-06-01,9.0078064135,16.6172232448,,16.6976087072,411.76,304.0
1987-07-01,9.0078064135,16.5874964602,,16.7620787826,485.48,318.6600036621094
1987-08-01,9.0752805787,16.5280439183,,16.8587822455,474.01,329.79998779296875
1987-09-01,9.3789143218,16.8847643054,,17.5679475741,485.35,321.8299865722656
1987-10-01,9.4969941108,17.330664019,,17.9869992136,509.05,251.7899932861328
1987-11-01,9.6319424411,17.390117588,,18.2771129026,475.59,230.3000030517578
1987-12-01,9.6150738998,17.6873844061,,18.3415818779,525.11,247.0800018310547
1988-01-01,9.834365831,17.8360183287,,18.7283990298,633.58,257.07000732421875
1988-02-01,10.1717366567,18.7575455675,,19.3408597953,612.35,267.82000732421875
1988-03-01,10.4416333173,18.9953588165,,19.9210849731,656.47,258.8900146484375
1988-04-01,10.6440558127,19.3520792036,,20.3401377127,647.18,261.3299865722656
1988-05-01,10.7452670604,19.7087995907,,20.7591893523,717.35,262.1600036621094
1988-06-01,10.8127412256,19.7385263752,,20.9848329659,702.83,273.5
1988-07-01,11.2344547577,20.0060674359,,21.5328236561,721.08,272.0199890136719
1988-08-01,11.6393006431,20.6006010721,,22.3064579599,664.43,261.5199890136719
1988-09-01,11.4706152302,20.6600546411,,22.1452844216,677.54,271.9100036621094
1988-10-01,11.3694039825,20.541147503,,22.0808143462,729.79,278.9700012207031
1988-11-01,11.1838491338,20.362787823,,21.7907017573,831.12,273.70001220703125
1988-12-01,11.4200096064,20.5708742876,,22.016345371,907.2,277.7200012207031
1989-01-01,11.9091973036,21.2248614927,,22.5965705488,884.29,297.4700012207031
1989-02-01,12.7357558266,22.3247494386,,23.7892575922,917.9,288.8599853515625
1989-03-01,13.1743387946,23.3949106,,24.659596459,1003.31,294.8699951171875
1989-04-01,14.1189771065,24.5245253304,,26.174630579,940.54,309.6400146484375
1989-05-01,13.967160235,24.2867110542,,26.4325086803,932.76,320.5199890136719
1989-06-01,13.612920868,24.2867110542,,26.3358041173,854.61,317.9800109863281
1989-07-01,13.3261556661,24.5245253304,,26.077926016,895.66,346.0799865722656
1989-08-01,13.3092871249,24.7028850104,,26.0456904282,975.28,351.45001220703125
1989-09-01,13.258681501,24.5245253304,,26.0134559406,942.41,349.1499938964844
1989-10-01,13.4779725377,24.7920653639,,26.2390995543,894.02,340.3599853515625
1989-11-01,13.5454467028,24.8217921484,,26.3680386049,906.33,345.989990234375
1989-12-01,13.5454467028,24.9109714749,,26.4647431679,909.72,353.3999938964844
1990-01-01,13.9334231524,25.0596053975,,26.8515603198,896.16,329.0799865722656
1990-02-01,14.7599825699,26.6648466259,,28.1731853138,861.59,331.8900146484375
