,KOSPI,S&P 500
1986-01-01,160.42,211.77999877929688
1986-02-01,175.91,226.9199981689453
1986-03-01,199.76,238.89999389648438
1986-04-01,202.91,235.52000427246094
1986-05-01,231.06,247.35000610351562
1986-06-01,243.36,250.83999633789062
1986-07-01,273.75,236.1199951171875
1986-08-01,264.64,252.92999267578125
1986-09-01,253.45,231.32000732421875
1986-10-01,240.79,243.97999572753906
1986-11-01,268.98,249.22000122070312
1986-12-01,272.61,242.1699981689453
1987-01-01,310.22,274.0799865722656
1987-02-01,334.98,284.20001220703125
1987-03-01,405.13,291.70001220703125
1987-04-01,358.63,288.3599853515625
1987-05-01,387.99,290.1000061035156
1987-06-01,411.76,304.0
1987-07-01,485.48,318.6600036621094
1987-08-01,474.01,329.79998779296875
1987-09-01,485.35,321.8299865722656
1987-10-01,509.05,251.7899932861328
1987-11-01,475.59,230.3000030517578
1987-12-01,525.11,247.0800018310547
1988-01-01,633.58,257.07000732421875
1988-02-01,612.35,267.82000732421875
1988-03-01,656.47,258.8900146484375
1988-04-01,647.18,261.3299865722656
1988-05-01,717.35,262.1600036621094
1988-06-01,702.83,273.5
1988-07-01,721.08,272.0199890136719
1988-08-01,664.43,261.5199890136719
1988-09-01,677.54,271.9100036621094
1988-10-01,729.79,278.9700012207031
1988-11-01,831.12,273.70001220703125
1988-12-01,907.2,277.7200012207031
1989-01-01,884.29,297.4700012207031
1989-02-01,917.9,288.8599853515625
1989-03-01,1003.31,294.8699951171875
1989-04-01,940.54,309.6400146484375
1989-05-01,932.76,320.5199890136719
1989-06-01,854.61,317.9800109863281
1989-07-01,895.66,346.0799865722656
1989-08-01,975.28,351.45001220703125
1989-09-01,942.41,349.1499938964844
1989-10-01,894.02,340.3599853515625
1989-11-01,906.33,345.989990234375
1989-12-01,909.72,353.3999938964844
1990-01-01,896.16,329.0799865722656
1990-02-01,861.59,331.8900146484375
1990-03-01,840.89,339.94000244140625
1990-04-01,688.66,330.79998779296875
1990-05-01,797.95,361.2300109863281
1990-06-01,706.79,358.0199890136719
1990-07-01,678.38,356.1499938964844
1990-08-01,606.87,322.55999755859375
1990-09-01,602.88,306.04998779296875
1990-10-01,690.16,304.0
1990-11-01,697.03,322.2200012207031
1990-12-01,696.11,330.2200012207031
1991-01-01,635.4,343.92999267578125
1991-02-01,675.57,367.07000732421875
1991-03-01,659.85,375.2200012207031
1991-04-01,645.61,375.3399963378906
1991-05-01,611.35,389.8299865722656
1991-06-01,605.27,371.1600036621094
1991-07-01,717.03,387.80999755859375
1991-08-01,683.11,395.42999267578125
1991-09-01,705.08,387.8599853515625
1991-10-01,695.94,392.45001220703125
1991-11-01,652.11,375.2200012207031
1991-12-01,610.92,417.0899963378906
1992-01-01,680.51,408.7799987792969
1992-02-01,612.5,412.70001220703125
1992-03-01,606.32,403.69000244140625
1992-04-01,615.97,414.95001220703125
1992-05-01,574.2,415.3500061035156
1992-06-01,552.03,408.1400146484375
1992-07-01,509.95,424.2099914550781
1992-08-01,562.8,414.0299987792969
1992-09-01,513.82,417.79998779296875
1992-10-01,615.58,418.67999267578125
1992-11-01,663.36,431.3500061035156
1992-12-01,678.44,435.7099914550781
1993-01-01,670.56,438.7799987792969
1993-02-01,642.96,443.3800048828125
1993-03-01,666.75,451.6700134277344
1993-04-01,721.57,440.19000244140625
